file_id,text_preview,stance_label_en,stance_label_zh,stance_score,features,quality
聂崇正_清代宫廷绘画\1_清以前的宫廷绘画概述.txt,"古今中外，在皇室宫廷内召集畫家作畫的事例很多，但在具體做法上则不相同。根據史料記载，我國在商周時，宫廷的壁上就畫有圖，這些圖畫的作者都未能留下姓名，但“畫聖”的吴道子等都是宫廷師。

公元十世紀後期，中原地區繁，形成了五代十國的爭局面，地處四川的西蜀和江南的南唐，相對來比较穩定。許多中原地區的家爲躲避祸而逃往西蜀和南唐，相應地推動了這兩個地區繪畫的發展，再加上西蜀和南唐的統治者對於繪很有興趣，於是...",Objective Description,客观中性描述,0.15286050736904144,"{'Cross-cultural Influence': {'score': 0.09913492202758789, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.022845957428216934, 'zh': '布局与结构'}, 'Emotional Expression': {'score': 0.014941117726266384, 'zh': '情感传递'}, 'Texture Strokes (Chunfa)': {'score': 0.013176689855754375, 'zh': '皴法特点'}, 'Use of Color': {'score': 0.011911292560398579, 'zh': '色彩运用'}, 'Brushwork Technique': {'score': 0.00781248789280653, 'zh': '笔法技巧'}, 'Symbolism': {'score': 0.006518078967928886, 'zh': '象征意义'}, 'Spatial Representation': {'score': 0.006407349370419979, 'zh': '空间营造'}, 'Historical Context': {'score': 0.005351283587515354, 'zh': '历史背景'}, 'Artistic Conception': {'score': 0.004084164276719093, 'zh': '意境表达'}, 'Genre': {'score': 0.004004610702395439, 'zh': '题材选择'}, 'Technique Inheritance & Innovation': {'score': 0.003981730435043573, 'zh': '技法传承与创新'}, 'Subject Matter': {'score': 0.0033785500563681126, 'zh': '主题内容'}, 'Style/School': {'score': 0.003050906118005514, 'zh': '风格流派'}, 'Artist Biography': {'score': 0.0021948597859591246, 'zh': '画家生平'}, 'Line Quality': {'score': 0.0021766696590930223, 'zh': '线条质量'}, 'Ink Application': {'score': 0.002010977128520608, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.01420281920582056, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.007582159712910652, 'zh': '逻辑存在跳跃'}, 'Lacks Examples': {'score': 0.006725981831550598, 'zh': '缺乏具体例证'}, 'Superficial Treatment': {'score': 0.004973981063812971, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.0045782336965203285, 'zh': '引用经典佐证'}, 'Clear Logic': {'score': 0.004103406332433224, 'zh': '逻辑清晰严密'}, 'Profound Insight': {'score': 0.0033479684498161077, 'zh': '见解深刻独到'}, 'Overly General Content': {'score': 0.003148307092487812, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.002918505808338523, 'zh': '论证充分有力'}, 'Objective Viewpoint': {'score': 0.0023547238670289516, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.0011811511358246207, 'zh': '细节分析具体'}}"
聂崇正_清代宫廷绘画\2.1_绘画机构的设置.txt,"關於清朝宫廷繪機構的設置，目前學術界存在不同的看法。一種意見爲在清朝宫廷種意見爲清朝宫廷内有類似於前代畫院的機構，但名上有其自己的特點，如爲“作”、“院處”、“如意館”等。然對於以上名尚有歧见，但清朝宫廷微召有聚多的

關於康熙時清朝的宫廷繪未有專門機構設置的記載，雍正時設有“作”，隶内務府

The painting set up in Yongzheng’s reign was called ...",Historical Research,历史考证型,0.15928396582603455,"{'Cross-cultural Influence': {'score': 0.9150230288505554, 'zh': '跨文化影响'}, 'Genre': {'score': 0.8454742431640625, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.825329065322876, 'zh': '主题内容'}, 'Historical Context': {'score': 0.7977846264839172, 'zh': '历史背景'}, 'Layout and Structure': {'score': 0.7556689381599426, 'zh': '布局与结构'}, 'Artistic Conception': {'score': 0.7028106451034546, 'zh': '意境表达'}, 'Emotional Expression': {'score': 0.6697684526443481, 'zh': '情感传递'}, 'Artist Biography': {'score': 0.6356406211853027, 'zh': '画家生平'}, 'Texture Strokes (Chunfa)': {'score': 0.6335171461105347, 'zh': '皴法特点'}, 'Symbolism': {'score': 0.6121821999549866, 'zh': '象征意义'}, 'Line Quality': {'score': 0.5978018045425415, 'zh': '线条质量'}, 'Use of Color': {'score': 0.593592643737793, 'zh': '色彩运用'}, 'Spatial Representation': {'score': 0.5759875178337097, 'zh': '空间营造'}, 'Style/School': {'score': 0.5631016492843628, 'zh': '风格流派'}, 'Technique Inheritance & Innovation': {'score': 0.5467445254325867, 'zh': '技法传承与创新'}, 'Brushwork Technique': {'score': 0.4024811387062073, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.3806791603565216, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.7398954629898071, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.6636800765991211, 'zh': '逻辑存在跳跃'}, 'Strong Argumentation': {'score': 0.661154568195343, 'zh': '论证充分有力'}, 'Classical Citations': {'score': 0.6513252854347229, 'zh': '引用经典佐证'}, 'Lacks Examples': {'score': 0.60952228307724, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.6030774712562561, 'zh': '内容较为宽泛'}, 'Superficial Treatment': {'score': 0.5915229320526123, 'zh': '论述流于表面'}, 'Detailed Analysis': {'score': 0.543071985244751, 'zh': '细节分析具体'}, 'Objective Viewpoint': {'score': 0.5289105772972107, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.5051803588867188, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.5017170310020447, 'zh': '逻辑清晰严密'}}"
聂崇正_清代宫廷绘画\2.2_画家的工作场所与称谓.txt,"清代宫廷家和明代的宫廷家相似，都被分配在某一殿内供職，家不是固定於一處作，經常有更動。家在某宫殿作，就作“某某宫畫畫人”，調往别處，也隨之改變。在檔案中見於記载的有如下名：
慈寧宫畫畫人（雍正至乾隆初）
南薰殿畫畫人（乾隆）
啟祥宫畫畫人（乾隆）
如意館畫人（乾隆）
春雨舒和畫畫人（乾隆）
咸安宫畫畫人（乾隆）
禮器館畫畫人（乾隆）

The court painters of QingDynas...",Comparative Analysis,比较分析型,0.1810186505317688,"{'Subject Matter': {'score': 0.9808640480041504, 'zh': '主题内容'}, 'Cross-cultural Influence': {'score': 0.9735132455825806, 'zh': '跨文化影响'}, 'Genre': {'score': 0.948224663734436, 'zh': '题材选择'}, 'Layout and Structure': {'score': 0.9012035727500916, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.878598690032959, 'zh': '历史背景'}, 'Ink Application': {'score': 0.8608541488647461, 'zh': '墨法变化'}, 'Symbolism': {'score': 0.8525742292404175, 'zh': '象征意义'}, 'Use of Color': {'score': 0.8194707632064819, 'zh': '色彩运用'}, 'Technique Inheritance & Innovation': {'score': 0.8138361573219299, 'zh': '技法传承与创新'}, 'Line Quality': {'score': 0.7925292253494263, 'zh': '线条质量'}, 'Brushwork Technique': {'score': 0.7924493551254272, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.7843180894851685, 'zh': '画家生平'}, 'Emotional Expression': {'score': 0.7631170749664307, 'zh': '情感传递'}, 'Spatial Representation': {'score': 0.7597588896751404, 'zh': '空间营造'}, 'Texture Strokes (Chunfa)': {'score': 0.7477931380271912, 'zh': '皴法特点'}, 'Artistic Conception': {'score': 0.7348381876945496, 'zh': '意境表达'}, 'Style/School': {'score': 0.7244564890861511, 'zh': '风格流派'}}","{'Subjective/Biased View': {'score': 0.9774581789970398, 'zh': '观点主观片面'}, 'Detailed Analysis': {'score': 0.9012252688407898, 'zh': '细节分析具体'}, 'Lacks Examples': {'score': 0.8780629634857178, 'zh': '缺乏具体例证'}, 'Logical Gaps': {'score': 0.8494256138801575, 'zh': '逻辑存在跳跃'}, 'Overly General Content': {'score': 0.8436743021011353, 'zh': '内容较为宽泛'}, 'Superficial Treatment': {'score': 0.8124595880508423, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.7733535170555115, 'zh': '引用经典佐证'}, 'Objective Viewpoint': {'score': 0.7096172571182251, 'zh': '观点客观公允'}, 'Strong Argumentation': {'score': 0.6337034702301025, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.6265857219696045, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.4051988124847412, 'zh': '逻辑清晰严密'}}"
聂崇正_清代宫廷绘画\2.3_宫廷绘画的管理制度.txt,"清代宫廷繪機構中有比较密的制度，根據内務府檔案的記载主要有如下點：
考核制度。

Thecourt paintingsetupinQingDynastyhadcertainregulationsthatwere quite strict.Accordingto the archives of the ImperialHouseholdDepartment,theseregulationsmaybe...",Comparative Analysis,比较分析型,0.34712642431259155,"{'Genre': {'score': 0.9990411996841431, 'zh': '题材选择'}, 'Cross-cultural Influence': {'score': 0.9988386631011963, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.9985529780387878, 'zh': '情感传递'}, 'Subject Matter': {'score': 0.9982507824897766, 'zh': '主题内容'}, 'Symbolism': {'score': 0.9981175065040588, 'zh': '象征意义'}, 'Historical Context': {'score': 0.9980206489562988, 'zh': '历史背景'}, 'Style/School': {'score': 0.9977604150772095, 'zh': '风格流派'}, 'Artistic Conception': {'score': 0.9957748055458069, 'zh': '意境表达'}, 'Layout and Structure': {'score': 0.9929994940757751, 'zh': '布局与结构'}, 'Ink Application': {'score': 0.9910539984703064, 'zh': '墨法变化'}, 'Line Quality': {'score': 0.9909003973007202, 'zh': '线条质量'}, 'Artist Biography': {'score': 0.9888309836387634, 'zh': '画家生平'}, 'Technique Inheritance & Innovation': {'score': 0.9827770590782166, 'zh': '技法传承与创新'}, 'Texture Strokes (Chunfa)': {'score': 0.9777061939239502, 'zh': '皴法特点'}, 'Use of Color': {'score': 0.966744065284729, 'zh': '色彩运用'}, 'Brushwork Technique': {'score': 0.9422304034233093, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.9078771471977234, 'zh': '空间营造'}}","{'Lacks Examples': {'score': 0.9967086911201477, 'zh': '缺乏具体例证'}, 'Superficial Treatment': {'score': 0.9952475428581238, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.9950562119483948, 'zh': '逻辑存在跳跃'}, 'Subjective/Biased View': {'score': 0.9945936799049377, 'zh': '观点主观片面'}, 'Overly General Content': {'score': 0.9937774538993835, 'zh': '内容较为宽泛'}, 'Objective Viewpoint': {'score': 0.9885396957397461, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.9837525486946106, 'zh': '细节分析具体'}, 'Classical Citations': {'score': 0.9832900762557983, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.9772756695747375, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.9387049674987793, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.9244378209114075, 'zh': '逻辑清晰严密'}}"
聂崇正_清代宫廷绘画\3.1_清代宫廷绘画的分期.txt,"清代宫廷畫的發展大致可以分爲三個時期，即順治、康熙時期；雍正、乾隆時期；嘉以後時期。分述如下：

顺治、康熙時期
的畫家供職作畫。順治時宫中的家有孟永光丶張行、王國材、黄應湛等人，人數很少，也没有什作品流傅下來。康熙皇帝玄燁在位六十一年，這期間供奉宫廷的家人數有所增加，而且出現了像焦秉贞丶冷枚、陳枚、唐岱等比较有影響的家。由於玄對西方科學文化的重視，西洋繪也隨之傅入宫廷中，亚且對清代宫廷繪畫有一定...",Socio-cultural Interpretation,社会文化解读型,0.1685958057641983,"{'Cross-cultural Influence': {'score': 0.9886946678161621, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.96869295835495, 'zh': '布局与结构'}, 'Genre': {'score': 0.9584821462631226, 'zh': '题材选择'}, 'Line Quality': {'score': 0.9519312977790833, 'zh': '线条质量'}, 'Historical Context': {'score': 0.9517326354980469, 'zh': '历史背景'}, 'Artistic Conception': {'score': 0.9420510530471802, 'zh': '意境表达'}, 'Style/School': {'score': 0.93992680311203, 'zh': '风格流派'}, 'Use of Color': {'score': 0.9394761323928833, 'zh': '色彩运用'}, 'Technique Inheritance & Innovation': {'score': 0.9243649244308472, 'zh': '技法传承与创新'}, 'Subject Matter': {'score': 0.9088254570960999, 'zh': '主题内容'}, 'Symbolism': {'score': 0.8984764814376831, 'zh': '象征意义'}, 'Texture Strokes (Chunfa)': {'score': 0.8963516354560852, 'zh': '皴法特点'}, 'Artist Biography': {'score': 0.8834188580513, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.8266746401786804, 'zh': '笔法技巧'}, 'Emotional Expression': {'score': 0.7799729108810425, 'zh': '情感传递'}, 'Ink Application': {'score': 0.7623434066772461, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.7452941536903381, 'zh': '空间营造'}}","{'Detailed Analysis': {'score': 0.9263386726379395, 'zh': '细节分析具体'}, 'Superficial Treatment': {'score': 0.911029577255249, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.886925220489502, 'zh': '逻辑存在跳跃'}, 'Subjective/Biased View': {'score': 0.8782511353492737, 'zh': '观点主观片面'}, 'Objective Viewpoint': {'score': 0.8775722980499268, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.8673787713050842, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.8634526133537292, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.8609885573387146, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.8561302423477173, 'zh': '论证充分有力'}, 'Lacks Examples': {'score': 0.8482970595359802, 'zh': '缺乏具体例证'}, 'Classical Citations': {'score': 0.8363050222396851, 'zh': '引用经典佐证'}}"
聂崇正_清代宫廷绘画\3.2.1_纪实绘画.txt,"紀實繪畫
紀實畫包括皇帝、皇后及文武大臣的肖像，皇帝日常生活的圖景和記錄重大歷史事件的圖等。這些作品比较真實地反映了歷史面貌，具有重要的史料價值。

paintings ofrecord,paintingsof empressemeriaconubinehigrankingfficialsand generalsfscenesof thmrrsdailylfandf signifcan event...",Socio-cultural Interpretation,社会文化解读型,0.3085117042064667,"{'Cross-cultural Influence': {'score': 0.5721344947814941, 'zh': '跨文化影响'}, 'Technique Inheritance & Innovation': {'score': 0.19642987847328186, 'zh': '技法传承与创新'}, 'Texture Strokes (Chunfa)': {'score': 0.1437787264585495, 'zh': '皴法特点'}, 'Historical Context': {'score': 0.12589779496192932, 'zh': '历史背景'}, 'Symbolism': {'score': 0.12037903815507889, 'zh': '象征意义'}, 'Subject Matter': {'score': 0.11078503727912903, 'zh': '主题内容'}, 'Genre': {'score': 0.105684295296669, 'zh': '题材选择'}, 'Use of Color': {'score': 0.10240316390991211, 'zh': '色彩运用'}, 'Emotional Expression': {'score': 0.10179604589939117, 'zh': '情感传递'}, 'Line Quality': {'score': 0.09161435067653656, 'zh': '线条质量'}, 'Layout and Structure': {'score': 0.08556617051362991, 'zh': '布局与结构'}, 'Style/School': {'score': 0.08326360583305359, 'zh': '风格流派'}, 'Artistic Conception': {'score': 0.07219193130731583, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.04372387006878853, 'zh': '画家生平'}, 'Ink Application': {'score': 0.033448196947574615, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.024804595857858658, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.013544227927923203, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.1972835659980774, 'zh': '观点主观片面'}, 'Lacks Examples': {'score': 0.13910618424415588, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.11812883615493774, 'zh': '观点客观公允'}, 'Classical Citations': {'score': 0.10250139981508255, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.07257089763879776, 'zh': '见解深刻独到'}, 'Logical Gaps': {'score': 0.0656675472855568, 'zh': '逻辑存在跳跃'}, 'Overly General Content': {'score': 0.05510474368929863, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.049638163298368454, 'zh': '论证充分有力'}, 'Superficial Treatment': {'score': 0.04350586608052254, 'zh': '论述流于表面'}, 'Clear Logic': {'score': 0.035902950912714005, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.030105652287602425, 'zh': '细节分析具体'}}"
聂崇正_清代宫廷绘画\3.2.2_历史绘画.txt,"歷史繪畫
宋、明兩朝的宫廷繪畫相比较，這是十分薄弱的一環。作品有焦秉贞所畫的《歷朝聖后故事圖》册、冷枚所畫的《歷代帝王故事圖》册、金廷標所畫的《婕妤當熊圖》等，張幅都不大。以上作品中有些内容是表彰古代婦女的。金廷標的《婕妤當熊圖》的是西漢元帝的妃子馮婕好，在一次隨同皇帝觀看門獸表演時，一只熊突然獸裹出，直奔人而來。皇帝左右的侍皆恐後退，唯獨馮婕妤臨危不，挺身向前，阻熊的去路，保護了皇帝。乘熊的注意...",Aesthetic Appreciation,美学鉴赏型,0.43050670623779297,"{'Cross-cultural Influence': {'score': 0.993783175945282, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.9890755414962769, 'zh': '历史背景'}, 'Symbolism': {'score': 0.982181966304779, 'zh': '象征意义'}, 'Layout and Structure': {'score': 0.9480218291282654, 'zh': '布局与结构'}, 'Genre': {'score': 0.9208008646965027, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.9046568870544434, 'zh': '意境表达'}, 'Subject Matter': {'score': 0.8970259428024292, 'zh': '主题内容'}, 'Technique Inheritance & Innovation': {'score': 0.8792252540588379, 'zh': '技法传承与创新'}, 'Emotional Expression': {'score': 0.8678385019302368, 'zh': '情感传递'}, 'Line Quality': {'score': 0.8040944337844849, 'zh': '线条质量'}, 'Style/School': {'score': 0.7947056293487549, 'zh': '风格流派'}, 'Texture Strokes (Chunfa)': {'score': 0.7401912212371826, 'zh': '皴法特点'}, 'Use of Color': {'score': 0.7338617444038391, 'zh': '色彩运用'}, 'Artist Biography': {'score': 0.2011399269104004, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.08583606779575348, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.00942864827811718, 'zh': '空间营造'}, 'Ink Application': {'score': 0.007469554897397757, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.9715622663497925, 'zh': '观点主观片面'}, 'Lacks Examples': {'score': 0.9663035273551941, 'zh': '缺乏具体例证'}, 'Classical Citations': {'score': 0.9326903820037842, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.8729061484336853, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.8723077774047852, 'zh': '逻辑存在跳跃'}, 'Overly General Content': {'score': 0.7788241505622864, 'zh': '内容较为宽泛'}, 'Profound Insight': {'score': 0.6807654500007629, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.2144012749195099, 'zh': '观点客观公允'}, 'Strong Argumentation': {'score': 0.08222346752882004, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.031321119517087936, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.006466785911470652, 'zh': '逻辑清晰严密'}}"
